,usr,dte,rte,cmt,itm,opt
0,hub*******,2018.07.11,100%,"간편하게 먹기 너무 좋아요
한번에 6박스 샀어요 ㅎ",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
1,hub*******,2018.07.11,100%,"간편하게 먹기 너무 좋아요
한번에 6박스 샀어요 ㅎ",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
2,hub*******,2018.07.11,100%,"간편하게 먹기 너무 좋아요
한번에 6박스 샀어요 ㅎ",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
3,hea*******,2018.07.11,100%,"식사대용으로 구입했습니다
괜찮아요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
4,set*******,2018.07.11,100%,예상보다 든든하고 맛도 괜찮아서 마음에 들어요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
5,set*******,2018.07.11,100%,인스턴트죽 특유의 맛이 적어서 예상보다 맛있습니다. 든든하고요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
6,pra*******,2018.07.10,100%,"간단하게 먹기좋고출근할때 차안에서 먹어도 눈치보이지않고
냄새도 나지않아서 너무좋아요 다이어트라기보다
아침을 굶어서 항상위가 안좋았는데 모닝죽 알고난뒤 속쓰림은없어졌네요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
7,pra*******,2018.07.10,100%,"간단하게 먹기좋고출근할때 차안에서 먹어도 눈치보이지않고
냄새도 나지않아서 너무좋아요 다이어트라기보다
아침을 굶어서 항상위가 안좋았는데 모닝죽 알고난뒤 속쓰림은없어졌네요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
8,pra*******,2018.07.10,100%,"간단하게 먹기좋고출근할때 차안에서 먹어도 눈치보이지않고
냄새도 나지않아서 너무좋아요 다이어트라기보다
아침을 굶어서 항상위가 안좋았는데 모닝죽 알고난뒤 속쓰림은없어졌네요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
9,mj8*******,2018.07.10,100%,간편하게 들고다니며 먹을 수 있어 좋고 맛도 괜찮네요~~,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
10,yhm*******,2018.07.08,100%,"사진 가격대비 괜찮은거 같아요.
상품평으로 봤을때 단호박이 제일 괜찮대서 단호박으로만 두박스 구매했어요.



턱이 좀 안좋아서 되도록미면 알갱이 없는걸 원했는데
살짝 알맹이가 있기는 하지만 대체적으로 부드럽구요.
팩으로 들고다니며 먹기 편해요.

특유의 향이 있다고 하는데 저는 잘 모르겠어요.



양이 적다고 하시는 분들도 있는데
용량이 130g이라 참고하시고 구매하면 될듯

다이어트 중인 사람한텐 적당한거 같아요.
우유나 두유 또는 바나나, 삶은 계란, 토마토 등등 으로 조합해서 먹으면 좋을듯 해요.

전자렌지에 돌려서",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
11,wes*******,2018.07.06,100%,간편한 아침 모닝죽 1주일(130gx7,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
12,wes*******,2018.07.06,100%,"신세계몰  
간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩
 맛선택 :",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
13,wes*******,2018.07.06,100%,"간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩
 맛선택 : 귀리/ 수량 : 7개입",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
14,mil*******,2018.07.02,100%,두번째 구매입니다. 간편하게 먹어요...,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
15,rev*******,2018.07.01,100%,가볍게 식사하기 좋은 영양죽,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
16,smh*******,2018.07.01,80%,검은콩이 들어 있어 영양이 더 풍부한 것 같아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
17,smh*******,2018.07.01,80%,단호박의 부드러움이 살아 있어요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
18,smh*******,2018.07.01,80%,단팥이 들어있어 먹기 편해요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
19,zin*******,2018.06.25,100%,먹기는 편해요 ㅎㅎ맛도 이정도면 괜찮아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
20,hub*******,2018.07.11,100%,"간편하게 먹기 너무 좋아요
한번에 6박스 샀어요 ㅎ",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
21,hub*******,2018.07.11,100%,"간편하게 먹기 너무 좋아요
한번에 6박스 샀어요 ㅎ",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
22,hub*******,2018.07.11,100%,"간편하게 먹기 너무 좋아요
한번에 6박스 샀어요 ㅎ",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
23,hea*******,2018.07.11,100%,"식사대용으로 구입했습니다
괜찮아요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
24,set*******,2018.07.11,100%,예상보다 든든하고 맛도 괜찮아서 마음에 들어요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
25,set*******,2018.07.11,100%,인스턴트죽 특유의 맛이 적어서 예상보다 맛있습니다. 든든하고요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
26,pra*******,2018.07.10,100%,"간단하게 먹기좋고출근할때 차안에서 먹어도 눈치보이지않고
냄새도 나지않아서 너무좋아요 다이어트라기보다
아침을 굶어서 항상위가 안좋았는데 모닝죽 알고난뒤 속쓰림은없어졌네요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
27,pra*******,2018.07.10,100%,"간단하게 먹기좋고출근할때 차안에서 먹어도 눈치보이지않고
냄새도 나지않아서 너무좋아요 다이어트라기보다
아침을 굶어서 항상위가 안좋았는데 모닝죽 알고난뒤 속쓰림은없어졌네요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
28,pra*******,2018.07.10,100%,"간단하게 먹기좋고출근할때 차안에서 먹어도 눈치보이지않고
냄새도 나지않아서 너무좋아요 다이어트라기보다
아침을 굶어서 항상위가 안좋았는데 모닝죽 알고난뒤 속쓰림은없어졌네요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
29,mj8*******,2018.07.10,100%,간편하게 들고다니며 먹을 수 있어 좋고 맛도 괜찮네요~~,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
30,yan*******,2018.06.05,100%,"시골에 계시는 어머니에게 선물해 드렸는데
먹기간편하고 맛있다고 하셔서 보내드리길  잘했다고 생각한다.",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
31,kjs*******,2018.06.03,100%,다른 맛보다 별로에요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
32,kjs*******,2018.06.03,100%,짱이에요 젤 맛있어요 고구마나 단호박에 좋은듯요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
33,kjs*******,2018.06.03,80%,ㅇ찹쌀같은게 들어있어 씹어먹는데 별로에요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
34,hah*******,2018.06.01,100%,"편하고 맛있고
다먹으면 또 주문할거예요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
35,ehr*******,2018.05.31,100%,가장 포만감이 느껴지는것 같아요 담백하고 괜찮네요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
36,ban*******,2018.05.31,100%,생각보다 맛이 아주 좋아요^^,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
37,mom*******,2018.05.29,100%,고구마죽은 맛이 없어요 ^^단맛이 아니라 고구마 쓴맛이랄까 단호박은 맛있습니다.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
38,aca*******,2018.05.26,20%,제입맛에는 안맞나요 달고 두번은 안시킬듯,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
39,aca*******,2018.05.26,80%,좀 달아요 두번은 안시킬듯,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
40,ban*******,2018.06.20,100%,생각보다 맛이 아주 좋아요^^,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
41,ejk*******,2018.06.19,100%,"빠른배송 굿

좀 싸게 부탁해요

기대가 컸는데...약간 실망 ㅜ",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
42,jol*******,2018.06.14,100%,고구마 보다 맛있네요... 가격도 여기가 젤루 저렴해서 바로 구입했어요... 다른 종류도 구매예정이에요...,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
43,emi*******,2018.06.13,100%,맛이 좋군요 흡족,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
44,emi*******,2018.06.13,100%,맛이 훌륭하네요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
45,min*******,2018.06.09,100%,"아침에 하나씩 먹기 좋을 것 같아요 
다음에도 좋은 딜 부탁드립니다 !",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
46,min*******,2018.06.09,100%,"아직 먹어보진 못했는데 아침에 하나씩 먹기에 좋을것 같아요 
다음에도 좋은 딜 부탁드립니다",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
47,min*******,2018.06.09,100%,"아직 먹어보진 못했어요 
아침에 하나씩 먹기에 좋을 것 같네요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
48,kat*******,2018.06.08,80%,"맛있어요, 근데 제겐 양이 적네요, 튜브안에 남아버리는 양도 아깝고^^;",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
49,rsh*******,2018.06.07,60%,먹기가 좀 불편하군요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
50,flo*******,2018.05.25,100%,"가격이더착해지면좋겠네여
품질은좋습니다",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
51,flo*******,2018.05.25,100%,"가격이비싼거빼곤 맛나고 먹기편합니다
믿고사는제품",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
52,ehr*******,2018.05.25,100%,"단호박 맛 괜찮아요 
차갑게 그냥 먹어서인지 제입맛에는 조금 짜게 느껴지긴합니다. 아침 대용식으로 괜찮을거 같네요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
53,cca*******,2018.05.24,100%,이건 좀 진짜 못먹겠더라구요저는ㅠ,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
54,cca*******,2018.05.24,100%,단호박 진짜 맛있어요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
55,os9*******,2018.05.24,100%,간편하게 괜찮네요^^,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
56,eun*******,2018.05.17,100%,"맛이 어떨지 몰라서 고민하다 구매했는데 먹기 간편하고 맛도 괜찮네요~
다음엔 담백한 귀리나 검은콩으로 구매해볼생각이에요!",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
57,syh*******,2018.05.10,100%,맛있어요 입맛없을때 입맛 돌아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
58,syh*******,2018.05.10,100%,담백하고 맛이어요 출출할때 먹기 좋아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
59,kdg*******,2018.05.09,100%,신랑건강을 위해서 구매했어요! 새벽에 출근하는 신랑에게 하나 쓱 좋아요!~,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
60,kdg*******,2018.05.09,100%,신랑건강을 위해서 구매했어요! 새벽에 출근하는 신랑에게 하나 쓱 좋아요!~,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
61,mnn*******,2018.05.09,60%,생각보다 별로에요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
62,whi*******,2018.05.07,100%,"아이가 잘 먹어요...,",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
63,s2j*******,2018.05.05,60%,저한테는 그냥저냥 괜찮습니다.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
64,jas*******,2018.05.02,100%,단호박도 맛 좋으네요...,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
65,jas*******,2018.05.02,100%,두번째구매입니다.가볍게 좋습니다,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
66,yst*******,2018.04.27,100%,"바쁘고 식욕이 별로인 아침시간에 
간편하고 편안하게 먹을 수 있고
더우기 식성에 맞게 먹을 수 있어 참으로 좋습니다 ^^*",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
67,aua*******,2018.04.26,100%,잘 받았습니다. 빠른 배송,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
68,jja*******,2018.04.25,100%,"간편한 아침 모닝죽 

맛있어요 ~~~

강추합니다",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
69,gle*******,2018.04.20,100%,처음엔 달아서 별로여는데 단게 땡기는 날 먹으면 좋아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
70,gle*******,2018.04.20,100%,처음 주문에 여러맛 시켜서 선호맛 찾으면 돼요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
71,gle*******,2018.04.20,100%,"싸게 구입했어요
 다 먹을만 합니다",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
72,hid*******,2018.04.14,100%,출출할때 간편하게 먹기 좋은 죽,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
73,bh9*******,2018.04.14,100%,3개사면 하나 더 준다고 했는데...주문량만 왔네요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
74,mod*******,2018.04.14,100%,"칼배송 맛도 좋고 이벤트까지~완전좋아요 이벤트 자주해주세용 ㅎㅎ

굿굿",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
75,h06*******,2018.04.13,100%,아침식사 대용으로 괜찮을거 같네요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
76,aos*******,2018.04.12,100%,배송이 빠르고 좋습니다,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
77,cca*******,2018.04.11,80%,"단호박은 먹을만하다.
모든 종류를 맛이어떨지도 모르면서 다 한박스씩 시기는 좀 모험이다. 한가지씩 7종류를 맛볼 수는 없을까?",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
78,gre*******,2018.04.11,100%,아침 식사 대용으로 좋아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
79,gre*******,2018.04.11,100%,아침식사 대용으로 좋아여,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
80,kwn*******,2018.04.10,100%,배송 빠르고 맛있어요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
81,rev*******,2018.04.10,80%,건강한 아침엔 역시^^,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
82,jin*******,2018.04.09,100%,좋아요 좋아 좋아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
83,jas*******,2018.04.01,100%,맛도 부드럽고 먹기 편합니다,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
84,dee*******,2018.03.28,100%,양이 많았으면 좋겠네요. 담백하고 맛있어요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
85,kan*******,2018.03.25,100%,간편하게 아침 식사대용으로 먹고있는데 좋은 것 같아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
86,kan*******,2018.03.25,100%,간편하게 아침 식사대용으로 먹고있는데 좋은 것 같아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
87,ara*******,2018.03.09,100%,맛있어요 감사합니다,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
88,lim*******,2018.03.03,100%,좋아요 좋아요 좋아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
89,mjc*******,2018.02.25,100%,저렴하개 잘 샀어요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
90,rud*******,2018.02.22,100%,귀리는 미음 먹는 느낌이예요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
91,dms*******,2018.02.17,100%,아침에 간편하게 먹기 좋아요~!,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
92,syj*******,2018.02.15,100%,아침에 간편히 먹기 좋아요!,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
93,syj*******,2018.02.15,100%,아침에 간편히 먹기 좋아요!,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
94,syj*******,2018.02.15,100%,"아침에
간편히 먹기 좋네요!",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
95,keg*******,2018.02.10,20%,"사진 회사가 좀 인색하네요!
7개입 9박스를 구입했는데..
(예전에는  1박스 구입해도 서비스로 두유를 서비스를 준다든지 죽1팩을 서비스를 넣어주곤 했는데..)
이젠 잘 팔리는지 국물도 없네요!
1박스주문도 택배비 포함인데 9박스 묶음배송이면 택배비만 계산해도 서비스 넣어줄만한데 너무 인색한 회사인듯합니다.",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
96,keg*******,2018.02.10,20%,"사진 회사가 좀 인색하네요!
7개입 9박스를 구입했는데..
(예전에는  1박스 구입해도 서비스로 두유를 서비스를 준다든지 죽1팩을 서비스를 넣어주곤 했는데..)
이젠 잘 팔리는지 국물도 없네요!
1박스주문도 택배비 포함인데 9박스 묶음배송이면 택배비만 계산해도 서비스 넣어줄만한데 너무 인색한 회사인듯합니다.",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
97,keg*******,2018.02.10,20%,"사진 회사가 좀 인색하네요!
7개입 9박스를 구입했는데..
(예전에는  1박스 구입해도 서비스로 두유를 서비스를 준다든지 죽1팩을 서비스를 넣어주곤 했는데..)
이젠 잘 팔리는지 국물도 없네요!
1박스주문도 택배비 포함인데 9박스 묶음배송이면 택배비만 계산해도 서비스 넣어줄만한데 너무 인색한 회사인듯합니다.",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
98,keg*******,2018.02.10,20%,"사진 회사가 좀 인색하네요!
7개입 9박스를 구입했는데..
(예전에는  1박스 구입해도 서비스로 두유를 서비스를 준다든지 죽1팩을 서비스를 넣어주곤 했는데..)
이젠 잘 팔리는지 국물도 없네요!
1박스주문도 택배비 포함인데 9박스 묶음배송이면 택배비만 계산해도 서비스 넣어줄만한데 너무 인색한 회사인듯합니다.",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
99,keg*******,2018.02.10,100%,아침대용으로 간편하게 잘 먹고 있습니다.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
